id,date,user,pc,to,cc,bcc,from,size,attachments,content_x,anomalous,content_y,cleaned_content_x,email_sentiment_x,content,cleaned_content_y,email_sentiment_y,email_activity
{S1Q3-T2BU28PD-1215MZHB},06/10/2010 10:49:57,FAW0032,PC-5866,Cathleen.Samantha.Craig@dtaa.com,,,Frances.Alisa.Wiggins@dtaa.com,56847,0,lets talk valued employee hard job vacation you are appreciated valued employee rest lets talk valued employee training lunch lunch schedule you are appreciated lets talk lunch training valued employee hard job hard job vacation lets talk you are appreciated good work rest schedule vacation you are appreciated rest good work you are appreciated lets talk you are appreciated valued employee rest lunch lets talk training good work hard job valued employee valued employee training lunch lunch hard job training schedule training vacation lunch valued employee good work training vacation training schedule schedule schedule lunch lets talk vacation good work vacation valued employee valued employee valued employee good work rest valued employee lunch hard job hard job,1,lets talk valued employee hard job vacation you are appreciated valued employee rest lets talk valued employee training lunch lunch schedule you are appreciated lets talk lunch training valued employee hard job hard job vacation lets talk you are appreciated good work rest schedule vacation you are appreciated rest good work you are appreciated lets talk you are appreciated valued employee rest lunch lets talk training good work hard job valued employee valued employee training lunch lunch hard job training schedule training vacation lunch valued employee good work training vacation training schedule schedule schedule lunch lets talk vacation good work vacation valued employee valued employee valued employee good work rest valued employee lunch hard job hard job,lets talk valued employee hard job vacation appreciated valued employee rest lets talk valued employee training lunch lunch schedule appreciated lets talk lunch training valued employee hard job hard job vacation lets talk appreciated good work rest schedule vacation appreciated rest good work appreciated lets talk appreciated valued employee rest lunch lets talk training good work hard job valued employee valued employee training lunch lunch hard job training schedule training vacation lunch valued employee good work training vacation training schedule schedule schedule lunch lets talk vacation good work vacation valued employee valued employee valued employee good work rest valued employee lunch hard job hard job,0.1767543859649122,lets talk valued employee hard job vacation you are appreciated valued employee rest lets talk valued employee training lunch lunch schedule you are appreciated lets talk lunch training valued employee hard job hard job vacation lets talk you are appreciated good work rest schedule vacation you are appreciated rest good work you are appreciated lets talk you are appreciated valued employee rest lunch lets talk training good work hard job valued employee valued employee training lunch lunch hard job training schedule training vacation lunch valued employee good work training vacation training schedule schedule schedule lunch lets talk vacation good work vacation valued employee valued employee valued employee good work rest valued employee lunch hard job hard job,lets talk valued employee hard job vacation appreciated valued employee rest lets talk valued employee training lunch lunch schedule appreciated lets talk lunch training valued employee hard job hard job vacation lets talk appreciated good work rest schedule vacation appreciated rest good work appreciated lets talk appreciated valued employee rest lunch lets talk training good work hard job valued employee valued employee training lunch lunch hard job training schedule training vacation lunch valued employee good work training vacation training schedule schedule schedule lunch lets talk vacation good work vacation valued employee valued employee valued employee good work rest valued employee lunch hard job hard job,0.1767543859649122,email_neutral
{R2F8-M0OF66UJ-8666WOIF},06/10/2010 11:24:27,CSC0217,PC-6377,Frances.Alisa.Wiggins@dtaa.com,,,Cathleen.Samantha.Craig@dtaa.com,29837,0,i am irreplaceable i will leave angry outraged i am irreplaceable outraged bad things i will leave outraged take me seriously angry outraged angry exacerbated outraged outraged i am irreplaceable bad things i will leave i will leave i will leave i will leave exacerbated not my fault take me seriously i will leave bad things take me seriously two faced take me seriously take me seriously exacerbated outraged outraged two faced outraged i will leave angry outraged i will leave not my fault angry bad things angry outraged i will leave take me seriously two faced exacerbated bad things take me seriously angry i will leave angry bad things,1,i am irreplaceable i will leave angry outraged i am irreplaceable outraged bad things i will leave outraged take me seriously angry outraged angry exacerbated outraged outraged i am irreplaceable bad things i will leave i will leave i will leave i will leave exacerbated not my fault take me seriously i will leave bad things take me seriously two faced take me seriously take me seriously exacerbated outraged outraged two faced outraged i will leave angry outraged i will leave not my fault angry bad things angry outraged i will leave take me seriously two faced exacerbated bad things take me seriously angry i will leave angry bad things,irreplaceable leave angry outraged irreplaceable outraged bad things leave outraged take seriously angry outraged angry exacerbated outraged outraged irreplaceable bad things leave leave leave leave exacerbated fault take seriously leave bad things take seriously two faced take seriously take seriously exacerbated outraged outraged two faced outraged leave angry outraged leave fault angry bad things angry outraged leave take seriously two faced exacerbated bad things take seriously angry leave angry bad things,-0.6588888888888889,i am irreplaceable i will leave angry outraged i am irreplaceable outraged bad things i will leave outraged take me seriously angry outraged angry exacerbated outraged outraged i am irreplaceable bad things i will leave i will leave i will leave i will leave exacerbated not my fault take me seriously i will leave bad things take me seriously two faced take me seriously take me seriously exacerbated outraged outraged two faced outraged i will leave angry outraged i will leave not my fault angry bad things angry outraged i will leave take me seriously two faced exacerbated bad things take me seriously angry i will leave angry bad things,irreplaceable leave angry outraged irreplaceable outraged bad things leave outraged take seriously angry outraged angry exacerbated outraged outraged irreplaceable bad things leave leave leave leave exacerbated fault take seriously leave bad things take seriously two faced take seriously take seriously exacerbated outraged outraged two faced outraged leave angry outraged leave fault angry bad things angry outraged leave take seriously two faced exacerbated bad things take seriously angry leave angry bad things,-0.6588888888888889,email_negative
{R4C9-U0HA85RQ-3911VRUL},06/10/2010 14:22:32,FAW0032,PC-5866,Cathleen.Samantha.Craig@dtaa.com,,,Frances.Alisa.Wiggins@dtaa.com,24054,1,lets talk today unrelenting lets talk today training you are diligent assistance no one is irreplaceable assistance valued employee demanding job training demanding job operose operose demanding job no one is irreplaceable promote lets talk today no one is irreplaceable operose demanding job take some time off unrelenting no one is irreplaceable promote operose valued employee assistance demanding job you are diligent promote demanding job promote no one is irreplaceable no one is irreplaceable take some time off no one is irreplaceable unrelenting training unrelenting assistance promote promote,1,lets talk today unrelenting lets talk today training you are diligent assistance no one is irreplaceable assistance valued employee demanding job training demanding job operose operose demanding job no one is irreplaceable promote lets talk today no one is irreplaceable operose demanding job take some time off unrelenting no one is irreplaceable promote operose valued employee assistance demanding job you are diligent promote demanding job promote no one is irreplaceable no one is irreplaceable take some time off no one is irreplaceable unrelenting training unrelenting assistance promote promote,lets talk today unrelenting lets talk today training diligent assistance one irreplaceable assistance valued employee demanding job training demanding job operose operose demanding job one irreplaceable promote lets talk today one irreplaceable operose demanding job take time unrelenting one irreplaceable promote operose valued employee assistance demanding job diligent promote demanding job promote one irreplaceable one irreplaceable take time one irreplaceable unrelenting training unrelenting assistance promote promote,0.0,lets talk today unrelenting lets talk today training you are diligent assistance no one is irreplaceable assistance valued employee demanding job training demanding job operose operose demanding job no one is irreplaceable promote lets talk today no one is irreplaceable operose demanding job take some time off unrelenting no one is irreplaceable promote operose valued employee assistance demanding job you are diligent promote demanding job promote no one is irreplaceable no one is irreplaceable take some time off no one is irreplaceable unrelenting training unrelenting assistance promote promote,lets talk today unrelenting lets talk today training diligent assistance one irreplaceable assistance valued employee demanding job training demanding job operose operose demanding job one irreplaceable promote lets talk today one irreplaceable operose demanding job take time unrelenting one irreplaceable promote operose valued employee assistance demanding job diligent promote demanding job promote one irreplaceable one irreplaceable take time one irreplaceable unrelenting training unrelenting assistance promote promote,0.0,email_neutral
{R8C1-G5YQ23YI-0691CHUB},06/11/2010 17:38:35,FAW0032,PC-5866,Gareth.Thomas.Dickson@dtaa.com;Emerald.Imani.Schmidt@dtaa.com;Daria.Felicia.Rowland@dtaa.com;Alfonso.Colin.Cooley@dtaa.com;Quemby.Nita.Pollard@dtaa.com;Bevis.Brady.Sheppard@dtaa.com;Kendall.Ciaran.Frank@dtaa.com;Cyrus.Connor.Atkinson@dtaa.com;Megan.Simone.Hess@dtaa.com;Jonathan.Gary.Terry@dtaa.com;Mariko.Olga.Snyder@dtaa.com;Ursula.Idona.Richard@dtaa.com;Jerry.Tad.Mccall@dtaa.com,Byron.Armand.Livingston@dtaa.com;Medge.Nichole.Sims@dtaa.com;Jack.Carlos.Cannon@dtaa.com;Meghan.Phoebe.Macias@dtaa.com,,Frances.Alisa.Wiggins@dtaa.com,20058,0,budget rescind terminated terminated hr notice budget terminated down size reassign down size cancelled disolve project reallocate reallocate budget budget project cancelled disolve hr funding project notice rescind budget disolve disolve refocus cancelled rescind rescind budget reallocate terminated disolve notice intention cancelled rescind down size down size budget project budget cancelled disolve reassign funding reassign hr,1,budget rescind terminated terminated hr notice budget terminated down size reassign down size cancelled disolve project reallocate reallocate budget budget project cancelled disolve hr funding project notice rescind budget disolve disolve refocus cancelled rescind rescind budget reallocate terminated disolve notice intention cancelled rescind down size down size budget project budget cancelled disolve reassign funding reassign hr,budget rescind terminated terminated hr notice budget terminated size reassign size cancelled disolve project reallocate reallocate budget budget project cancelled disolve hr funding project notice rescind budget disolve disolve refocus cancelled rescind rescind budget reallocate terminated disolve notice intention cancelled rescind size size budget project budget cancelled disolve reassign funding reassign hr,0.0,budget rescind terminated terminated hr notice budget terminated down size reassign down size cancelled disolve project reallocate reallocate budget budget project cancelled disolve hr funding project notice rescind budget disolve disolve refocus cancelled rescind rescind budget reallocate terminated disolve notice intention cancelled rescind down size down size budget project budget cancelled disolve reassign funding reassign hr,budget rescind terminated terminated hr notice budget terminated size reassign size cancelled disolve project reallocate reallocate budget budget project cancelled disolve hr funding project notice rescind budget disolve disolve refocus cancelled rescind rescind budget reallocate terminated disolve notice intention cancelled rescind size size budget project budget cancelled disolve reassign funding reassign hr,0.0,email_neutral
{C3W6-Y0TB53GQ-3215KTTT},06/17/2010 10:57:44,FAW0032,PC-5866,Gareth.Thomas.Dickson@dtaa.com,,,Frances.Alisa.Wiggins@dtaa.com,21159,0,training you are appreciated rest rest schedule training you are appreciated hard job training good work valued employee schedule you are appreciated rest rest rest hard job you are appreciated hard job valued employee hard job vacation valued employee valued employee hard job you are appreciated you are appreciated valued employee valued employee hard job hard job valued employee hard job rest hard job lets talk hard job lets talk,1,training you are appreciated rest rest schedule training you are appreciated hard job training good work valued employee schedule you are appreciated rest rest rest hard job you are appreciated hard job valued employee hard job vacation valued employee valued employee hard job you are appreciated you are appreciated valued employee valued employee hard job hard job valued employee hard job rest hard job lets talk hard job lets talk,training appreciated rest rest schedule training appreciated hard job training good work valued employee schedule appreciated rest rest rest hard job appreciated hard job valued employee hard job vacation valued employee valued employee hard job appreciated appreciated valued employee valued employee hard job hard job valued employee hard job rest hard job lets talk hard job lets talk,-0.0598039215686274,training you are appreciated rest rest schedule training you are appreciated hard job training good work valued employee schedule you are appreciated rest rest rest hard job you are appreciated hard job valued employee hard job vacation valued employee valued employee hard job you are appreciated you are appreciated valued employee valued employee hard job hard job valued employee hard job rest hard job lets talk hard job lets talk,training appreciated rest rest schedule training appreciated hard job training good work valued employee schedule appreciated rest rest rest hard job appreciated hard job valued employee hard job vacation valued employee valued employee hard job appreciated appreciated valued employee valued employee hard job hard job valued employee hard job rest hard job lets talk hard job lets talk,-0.0598039215686274,email_neutral
{M7L8-W9AT86YU-6111RXPY},06/17/2010 11:55:22,GTD0219,PC-6425,Frances.Alisa.Wiggins@dtaa.com,,Gareth.Thomas.Dickson@dtaa.com,Gareth.Thomas.Dickson@dtaa.com,26232,0,not my fault not my fault take me seriously i will leave outraged bad things i will leave outraged angry i will leave i am irreplaceable exacerbated angry i will leave bad things not my fault exacerbated i will leave angry bad things i will leave exacerbated take me seriously i will leave i will leave angry two faced exacerbated i am irreplaceable i am irreplaceable two faced angry exacerbated not my fault i will leave outraged outraged i am irreplaceable outraged not my fault i will leave not my fault bad things angry,1,not my fault not my fault take me seriously i will leave outraged bad things i will leave outraged angry i will leave i am irreplaceable exacerbated angry i will leave bad things not my fault exacerbated i will leave angry bad things i will leave exacerbated take me seriously i will leave i will leave angry two faced exacerbated i am irreplaceable i am irreplaceable two faced angry exacerbated not my fault i will leave outraged outraged i am irreplaceable outraged not my fault i will leave not my fault bad things angry,fault fault take seriously leave outraged bad things leave outraged angry leave irreplaceable exacerbated angry leave bad things fault exacerbated leave angry bad things leave exacerbated take seriously leave leave angry two faced exacerbated irreplaceable irreplaceable two faced angry exacerbated fault leave outraged outraged irreplaceable outraged fault leave fault bad things angry,-0.6450980392156863,not my fault not my fault take me seriously i will leave outraged bad things i will leave outraged angry i will leave i am irreplaceable exacerbated angry i will leave bad things not my fault exacerbated i will leave angry bad things i will leave exacerbated take me seriously i will leave i will leave angry two faced exacerbated i am irreplaceable i am irreplaceable two faced angry exacerbated not my fault i will leave outraged outraged i am irreplaceable outraged not my fault i will leave not my fault bad things angry,fault fault take seriously leave outraged bad things leave outraged angry leave irreplaceable exacerbated angry leave bad things fault exacerbated leave angry bad things leave exacerbated take seriously leave leave angry two faced exacerbated irreplaceable irreplaceable two faced angry exacerbated fault leave outraged outraged irreplaceable outraged fault leave fault bad things angry,-0.6450980392156863,email_negative
{F7G4-C2IM19DP-9477DFCY},06/17/2010 13:35:53,FAW0032,PC-5866,Gareth.Thomas.Dickson@dtaa.com,,,Frances.Alisa.Wiggins@dtaa.com,22906,4,unrelenting training assistance no one is irreplaceable take some time off no one is irreplaceable lets talk today unrelenting training operose no one is irreplaceable valued employee unrelenting no one is irreplaceable training valued employee valued employee take some time off you are diligent you are diligent training lets talk today promote unrelenting promote lets talk today demanding job valued employee lets talk today valued employee lets talk today lets talk today,1,unrelenting training assistance no one is irreplaceable take some time off no one is irreplaceable lets talk today unrelenting training operose no one is irreplaceable valued employee unrelenting no one is irreplaceable training valued employee valued employee take some time off you are diligent you are diligent training lets talk today promote unrelenting promote lets talk today demanding job valued employee lets talk today valued employee lets talk today lets talk today,unrelenting training assistance one irreplaceable take time one irreplaceable lets talk today unrelenting training operose one irreplaceable valued employee unrelenting one irreplaceable training valued employee valued employee take time diligent diligent training lets talk today promote unrelenting promote lets talk today demanding job valued employee lets talk today valued employee lets talk today lets talk today,0.0,unrelenting training assistance no one is irreplaceable take some time off no one is irreplaceable lets talk today unrelenting training operose no one is irreplaceable valued employee unrelenting no one is irreplaceable training valued employee valued employee take some time off you are diligent you are diligent training lets talk today promote unrelenting promote lets talk today demanding job valued employee lets talk today valued employee lets talk today lets talk today,unrelenting training assistance one irreplaceable take time one irreplaceable lets talk today unrelenting training operose one irreplaceable valued employee unrelenting one irreplaceable training valued employee valued employee take time diligent diligent training lets talk today promote unrelenting promote lets talk today demanding job valued employee lets talk today valued employee lets talk today lets talk today,0.0,email_neutral
{S8S3-D4DH40DJ-0944FQJF},06/18/2010 17:48:23,FAW0032,PC-5866,Jack.Carlos.Cannon@dtaa.com;Medge.Serina.Obrien@dtaa.com;Megan.Simone.Hess@dtaa.com;Cyrus.Connor.Atkinson@dtaa.com;Byron.Armand.Livingston@dtaa.com;Meghan.Phoebe.Macias@dtaa.com;Kendall.Ciaran.Frank@dtaa.com,Ursula.Idona.Richard@dtaa.com;Quemby.Nita.Pollard@dtaa.com;Mariko.Olga.Snyder@dtaa.com;Gareth.Thomas.Dickson@dtaa.com,,Frances.Alisa.Wiggins@dtaa.com,33848,0,project reallocate intention budget reassign down size refocus reallocate cancelled notice disolve project notice notice hr hr terminated terminated rescind reassign project cancelled reassign intention project intention budget cancelled disolve funding terminated hr project hr down size budget budget cancelled project funding rescind project rescind down size funding budget terminated reallocate reallocate terminated reassign project project intention terminated refocus budget notice funding intention notice hr refocus project notice disolve down size down size funding,1,project reallocate intention budget reassign down size refocus reallocate cancelled notice disolve project notice notice hr hr terminated terminated rescind reassign project cancelled reassign intention project intention budget cancelled disolve funding terminated hr project hr down size budget budget cancelled project funding rescind project rescind down size funding budget terminated reallocate reallocate terminated reassign project project intention terminated refocus budget notice funding intention notice hr refocus project notice disolve down size down size funding,project reallocate intention budget reassign size refocus reallocate cancelled notice disolve project notice notice hr hr terminated terminated rescind reassign project cancelled reassign intention project intention budget cancelled disolve funding terminated hr project hr size budget budget cancelled project funding rescind project rescind size funding budget terminated reallocate reallocate terminated reassign project project intention terminated refocus budget notice funding intention notice hr refocus project notice disolve size size funding,0.0,project reallocate intention budget reassign down size refocus reallocate cancelled notice disolve project notice notice hr hr terminated terminated rescind reassign project cancelled reassign intention project intention budget cancelled disolve funding terminated hr project hr down size budget budget cancelled project funding rescind project rescind down size funding budget terminated reallocate reallocate terminated reassign project project intention terminated refocus budget notice funding intention notice hr refocus project notice disolve down size down size funding,project reallocate intention budget reassign size refocus reallocate cancelled notice disolve project notice notice hr hr terminated terminated rescind reassign project cancelled reassign intention project intention budget cancelled disolve funding terminated hr project hr size budget budget cancelled project funding rescind project rescind size funding budget terminated reallocate reallocate terminated reassign project project intention terminated refocus budget notice funding intention notice hr refocus project notice disolve size size funding,0.0,email_neutral
{N6A5-P8OD70BU-8750XSGH},06/21/2010 11:14:25,PNL0301,PC-5611,Paul-Acton@harris.com,,,Philip.Nathan.Logan@dtaa.com,17747,0,passion opening experience growth contribute skills process platform concepts analyze required analyze report years sales benefits people recruiter develop interface platform experience part-time dynamic resume people skills permanent multiple initiative resume industry,1,passion opening experience growth contribute skills process platform concepts analyze required analyze report years sales benefits people recruiter develop interface platform experience part-time dynamic resume people skills permanent multiple initiative resume industry,passion opening experience growth contribute skills process platform concepts analyze required analyze report years sales benefits people recruiter develop interface platform experience parttime dynamic resume people skills permanent multiple initiative resume industry,0.0,passion opening experience growth contribute skills process platform concepts analyze required analyze report years sales benefits people recruiter develop interface platform experience part-time dynamic resume people skills permanent multiple initiative resume industry,passion opening experience growth contribute skills process platform concepts analyze required analyze report years sales benefits people recruiter develop interface platform experience parttime dynamic resume people skills permanent multiple initiative resume industry,0.0,email_neutral
{A4M7-U7PN51EA-2573HGJA},06/21/2010 11:23:52,PNL0301,PC-5611,Paul-Acton@harris.com,,,Philip.Nathan.Logan@dtaa.com,18264,0,multitask engineer contribute customer passion multitask customer benefits platform salary technologies strong degree multitask required degree customer skills people contribute on-time skills passion visual experience starter responsibilities start multiple multitask technologies equivalent degree analyze team guidance customer degree skills technologies team compensation team initiative visual team multiple responsibilities develop resume years people dynamic report team,1,multitask engineer contribute customer passion multitask customer benefits platform salary technologies strong degree multitask required degree customer skills people contribute on-time skills passion visual experience starter responsibilities start multiple multitask technologies equivalent degree analyze team guidance customer degree skills technologies team compensation team initiative visual team multiple responsibilities develop resume years people dynamic report team,multitask engineer contribute customer passion multitask customer benefits platform salary technologies strong degree multitask required degree customer skills people contribute ontime skills passion visual experience starter responsibilities start multiple multitask technologies equivalent degree analyze team guidance customer degree skills technologies team compensation team initiative visual team multiple responsibilities develop resume years people dynamic report team,0.0722222222222222,multitask engineer contribute customer passion multitask customer benefits platform salary technologies strong degree multitask required degree customer skills people contribute on-time skills passion visual experience starter responsibilities start multiple multitask technologies equivalent degree analyze team guidance customer degree skills technologies team compensation team initiative visual team multiple responsibilities develop resume years people dynamic report team,multitask engineer contribute customer passion multitask customer benefits platform salary technologies strong degree multitask required degree customer skills people contribute ontime skills passion visual experience starter responsibilities start multiple multitask technologies equivalent degree analyze team guidance customer degree skills technologies team compensation team initiative visual team multiple responsibilities develop resume years people dynamic report team,0.0722222222222222,email_neutral
